Date,Open,High,Low,Close,Volume
2025-07-11,116.82,119.23,116.47,118.55,287189.0
2025-07-14,118.61,119.79,117.65,119.66,219140.0
2025-07-15,119.07,119.77,118.57,119.25,193328.0
2025-07-16,118.85,120.13,118.85,119.53,178699.0
2025-07-17,119.53,120.36,119.12,120.07,172999.0
2025-07-18,120.3,122.07,119.28,121.2,210209.0
2025-07-21,121.2,121.21,119.67,119.98,187784.0
2025-07-22,119.98,123.31,119.98,122.95,303772.0
2025-07-23,123.12,124.3,122.55,122.62,229067.0
2025-07-24,122.57,123.18,121.92,122.97,156012.0
2025-07-25,122.97,123.02,120.89,120.96,184007.0
2025-07-28,120.94,121.59,119.42,121.48,178511.0
2025-07-29,120.92,121.41,119.62,120.94,185151.0
2025-07-30,120.98,122.57,120.7,121.94,224124.0
2025-07-31,121.44,121.52,118.27,118.57,304687.0
2025-08-01,118.56,119.04,117.81,118.42,123226.0
2025-08-04,118.05,118.65,117.87,118.34,85933.0
2025-08-05,118.37,119.64,118.37,119.37,139446.0
2025-08-06,119.39,119.92,118.91,119.58,119684.0
2025-08-07,119.55,120.56,119.37,119.97,115703.0
2025-08-08,119.97,120.3,119.38,119.64,82426.0
2025-08-11,119.57,121.77,119.53,121.36,182660.0
2025-08-12,121.32,122.75,120.43,120.61,211374.0
2025-08-13,120.43,120.89,119.94,120.61,155823.0
2025-08-14,120.6,122.27,120.19,120.26,199063.0
2025-08-15,119.96,120.72,119.32,120.52,193943.0
2025-08-18,120.52,122.08,120.23,121.17,255301.0
2025-08-19,121.19,123.17,121.19,121.83,327242.0
2025-08-20,121.84,123.92,120.77,123.2,404310.0
2025-08-21,123.22,123.55,122.28,122.87,231895.0
2025-08-22,122.87,123.24,122.37,123.21,204850.0
2025-08-25,123.6,127.51,123.6,127.35,479800.0
2025-08-26,127.35,129.27,126.07,127.16,349794.0
2025-08-27,126.92,126.92,124.02,124.04,346847.0
2025-08-28,124.03,124.62,121.42,122.89,345835.0
2025-08-29,123.6,127.22,123.54,126.95,435251.0
2025-09-01,127.42,127.52,124.94,126.29,316942.0
2025-09-02,125.83,128.54,125.53,125.98,349162.0
2025-09-03,126.42,128.92,123.81,124.04,302863.0
2025-09-04,123.72,123.92,122.15,122.93,261873.0
2025-09-05,122.82,124.44,122.22,124.23,201734.0
2025-09-08,124.12,126.57,123.68,126.51,305364.0
2025-09-09,126.5,126.8,125.0,126.22,184406.0
2025-09-10,126.22,126.9,125.08,125.48,199645.0
2025-09-11,124.84,125.96,124.22,125.94,229973.0
2025-09-12,125.92,127.09,124.54,124.61,262704.0
2025-09-15,124.02,124.52,123.47,124.07,166569.0
2025-09-16,124.07,124.27,122.82,123.22,191087.0
2025-09-17,123.23,123.75,122.24,123.38,181336.0
2025-09-18,123.37,123.38,120.95,121.36,275478.0
2025-09-19,121.35,122.02,120.22,121.5,196688.0
2025-09-22,121.02,121.12,119.6,119.92,196433.0
2025-09-23,119.43,120.68,118.98,119.61,172079.0
2025-09-24,119.61,120.27,119.22,119.79,130564.0
2025-09-25,119.82,120.08,118.93,118.94,194555.0
2025-09-26,118.94,119.09,117.44,117.59,261925.0
2025-09-29,117.68,119.99,117.21,119.34,256358.0
2025-09-30,118.86,119.25,118.29,118.9,154571.0
2025-10-09,118.86,118.86,117.31,118.58,203757.0
2025-10-10,118.56,119.54,118.07,118.15,175360.0
2025-10-13,117.07,117.82,116.66,117.27,195835.0
2025-10-14,117.99,119.99,117.44,119.49,291656.0
2025-10-15,118.76,120.07,118.48,119.49,194596.0
2025-10-16,119.17,120.17,118.92,120.16,198478.0
2025-10-17,119.42,120.38,118.48,118.49,180408.0
2025-10-20,118.77,118.97,117.52,117.88,131645.0
2025-10-21,118.2,118.92,117.77,117.94,147294.0
2025-10-22,117.42,118.19,117.32,117.52,127827.0
2025-10-23,117.42,118.87,117.38,118.75,155718.0
2025-10-24,118.39,118.7,117.52,117.71,174322.0
2025-10-27,117.47,117.97,117.3,117.71,143943.0
2025-10-28,117.71,118.11,117.43,117.52,140195.0
2025-10-29,117.28,117.37,115.63,116.25,245083.0
2025-10-30,115.43,116.97,115.42,115.89,204330.0
2025-10-31,112.82,117.06,112.82,116.41,421077.0
2025-11-03,115.92,117.02,114.92,116.4,223270.0
2025-11-04,116.2,116.41,114.43,114.58,172734.0
2025-11-05,113.77,114.42,113.42,113.6,164630.0
2025-11-06,113.93,114.72,113.48,113.59,154673.0
2025-11-07,113.59,114.41,113.37,114.17,145436.0
2025-11-10,114.17,119.0,113.96,118.22,429065.0
2025-11-11,117.67,118.39,116.62,118.2,229268.0
2025-11-12,118.21,119.92,117.77,117.8,222544.0
2025-11-13,117.42,118.69,117.05,118.62,160023.0
2025-11-14,118.1,119.41,117.61,117.63,139244.0
2025-11-17,117.44,117.95,116.43,117.57,117388.0
2025-11-18,117.42,119.17,117.18,117.78,147669.0
2025-11-19,117.74,117.91,117.12,117.31,95150.0
2025-11-20,117.3,119.06,117.02,117.67,158258.0
2025-11-21,117.53,118.83,116.83,117.1,205072.0
2025-11-24,117.17,117.88,115.92,115.94,173011.0
2025-11-25,115.94,116.33,115.25,115.93,146609.0
2025-11-26,115.94,116.71,115.42,115.68,91698.0
2025-11-27,115.72,115.91,115.12,115.36,92157.0
2025-11-28,115.32,115.36,114.77,115.27,80296.0
2025-12-01,115.22,116.04,114.52,115.07,120912.0
2025-12-02,115.02,115.19,113.92,113.99,124928.0
2025-12-03,114.14,114.47,112.92,113.02,165871.0
2025-12-04,113.03,113.17,111.54,111.87,169292.0
2025-12-05,111.89,112.79,111.63,112.38,117682.0
2025-12-08,112.27,112.55,110.52,110.69,276979.0
2025-12-09,110.42,110.5,107.92,108.3,304310.0
2025-12-10,107.92,109.17,106.93,109.04,178696.0
2025-12-11,109.42,110.15,109.2,109.32,157884.0
2025-12-12,109.72,111.12,109.02,109.02,257022.0
2025-12-15,109.72,110.68,109.47,109.87,215686.0
2025-12-16,109.42,110.51,109.08,110.42,145068.0
2025-12-17,110.42,111.17,109.52,110.82,153140.0
2025-12-18,110.82,111.16,110.33,110.43,124629.0
2025-12-19,110.65,110.88,110.04,110.53,138187.0
2025-12-22,110.51,110.8,110.12,110.33,108465.0
2025-12-23,110.13,110.43,109.33,109.72,113540.0
2025-12-24,109.5,109.59,108.78,109.28,117905.0
2025-12-25,109.28,110.7,109.2,110.6,125708.0
2025-12-26,110.1,110.49,109.44,109.78,114759.0
2025-12-29,109.44,109.6,108.0,108.06,195453.0
2025-12-30,107.9,107.99,107.02,107.36,158470.0
2025-12-31,107.19,107.25,105.61,105.94,208677.0
2026-01-05,105.9,108.19,105.7,107.9,222669.0
2026-01-06,107.92,108.43,106.92,108.17,186232.0
2026-01-07,108.18,108.34,107.4,107.52,123092.0
2026-01-08,107.38,107.38,106.66,106.9,129121.0
2026-01-09,107.05,108.55,106.88,107.14,160750.0
2026-01-12,107.15,108.85,107.13,108.55,233356.0
2026-01-13,108.99,109.22,107.82,108.0,197374.0
2026-01-14,107.88,108.84,106.68,107.04,225609.0
2026-01-15,106.7,107.22,106.02,106.09,162929.0
2026-01-16,106.25,106.41,105.05,105.16,198710.0
2026-01-19,104.99,105.38,104.34,104.55,182299.0
2026-01-20,104.5,105.47,104.3,104.91,172817.0
2026-01-21,104.62,104.7,103.0,103.05,262283.0
2026-01-22,103.07,103.72,102.61,102.76,186915.0
2026-01-23,102.8,103.71,102.7,102.99,214559.0
2026-01-26,102.96,103.5,101.06,102.34,312961.0
2026-01-27,102.12,102.33,101.02,101.02,225287.0
2026-01-28,101.03,101.85,100.63,100.7,266767.0
2026-01-29,100.7,110.77,100.5,110.77,986604.0
2026-01-30,110.77,110.78,105.0,105.0,668171.0
2026-02-02,105.08,110.76,105.08,107.29,531977.0
2026-02-03,107.08,108.78,106.6,107.28,331643.0
2026-02-04,106.5,109.41,106.28,108.52,378917.0
2026-02-05,107.9,110.55,107.66,108.89,372846.0
2026-02-06,108.9,109.73,106.81,107.0,276522.0
2026-02-09,106.8,107.69,106.47,107.36,208892.0
2026-02-10,107.18,107.18,105.79,106.5,185040.0
2026-02-11,106.31,106.65,105.85,106.04,114996.0
2026-02-12,105.9,106.11,104.4,104.62,181730.0
2026-02-13,104.7,106.88,104.17,106.06,241240.0
2026-02-24,108.18,109.19,105.0,105.16,210144.0
2026-02-25,105.0,106.11,104.87,105.17,161529.0
2026-02-26,105.0,105.33,103.6,103.88,192325.0
2026-02-27,103.88,104.55,103.88,104.05,119188.0
2026-03-02,103.0,104.6,102.34,103.22,204064.0
2026-03-03,103.01,104.38,101.9,102.55,230595.0
2026-03-04,102.0,102.01,100.75,101.02,183018.0
2026-03-05,101.62,101.97,101.15,101.45,100521.0
2026-03-06,101.34,102.49,101.05,102.4,112916.0
2026-03-09,101.32,102.6,101.27,101.52,177781.0
2026-03-10,101.88,102.39,101.76,102.05,111694.0
2026-03-11,102.05,102.35,101.59,102.18,107801.0
2026-03-12,102.0,102.73,101.6,102.27,116614.0
2026-03-13,102.06,103.66,101.85,102.95,153187.0
2026-03-16,102.8,105.31,102.7,104.54,203049.0
2026-03-17,104.54,105.82,104.0,104.79,177702.0
2026-03-18,104.79,104.99,103.4,103.72,117209.0
2026-03-19,103.01,103.41,102.51,102.53,114373.0
2026-03-20,102.53,103.18,101.9,102.4,102865.0
2026-03-23,101.4,101.78,100.04,100.23,205190.0
2026-03-24,100.88,101.46,100.04,101.34,117508.0
2026-03-25,101.35,102.58,100.88,102.45,108590.0
2026-03-26,102.2,102.89,101.28,101.28,95924.0
2026-03-27,100.5,102.88,100.41,102.65,102958.0
2026-03-30,101.99,103.9,101.8,103.46,124907.0
2026-03-31,105.0,105.8,103.27,103.27,178348.0
2026-04-01,103.97,105.18,103.39,104.39,122667.0
2026-04-02,104.0,105.26,103.88,105.0,151783.0
2026-04-03,104.97,104.97,103.29,103.49,83089.0
2026-04-07,103.4,103.9,102.35,103.11,81548.0
2026-04-08,103.9,104.2,103.51,104.19,97740.0
2026-04-09,103.38,103.69,102.5,102.6,98462.0
2026-04-10,102.61,102.95,102.0,102.07,122424.0
2026-04-13,101.64,102.45,101.08,102.42,122634.0
2026-04-14,102.42,103.4,101.88,103.1,120696.0
2026-04-15,102.9,103.99,102.68,103.55,115713.0
2026-04-16,103.5,104.0,103.22,103.44,90166.0
2026-04-17,101.5,102.25,101.2,101.86,167432.0
2026-04-20,101.82,101.95,101.05,101.35,116961.0
2026-04-21,101.3,101.82,101.0,101.18,108281.0
2026-04-22,101.0,101.08,100.46,100.64,144383.0
2026-04-23,100.64,102.3,100.56,101.18,174023.0
2026-04-24,100.65,101.92,100.3,101.27,134533.0
2026-04-27,100.5,100.53,100.05,100.2,191048.0
2026-04-28,100.08,100.29,99.9,100.2,123415.0
2026-04-29,97.88,98.58,97.04,98.34,338635.0
2026-04-30,97.74,97.95,97.0,97.08,248209.0
2026-05-06,90.78,94.5,90.1,92.26,871599.0
2026-05-07,92.43,93.85,92.43,92.6,536278.0
2026-05-08,92.6,92.8,91.66,92.13,259641.0
2026-05-11,92.03,92.29,91.37,91.81,269325.0
2026-05-12,91.8,91.93,90.5,90.56,372974.0
2026-05-13,90.57,90.83,88.74,89.15,467201.0
2026-05-14,88.81,91.28,87.78,88.99,503148.0
2026-05-15,88.0,88.08,86.62,86.87,361179.0
2026-05-18,86.65,86.65,85.2,85.57,393631.0
2026-05-19,85.8,87.25,85.41,85.78,304941.0
2026-05-20,85.21,86.06,84.54,85.47,304617.0
2026-05-21,85.51,87.2,85.23,85.35,326630.0
2026-05-22,85.58,85.6,84.03,84.03,260371.0
2026-05-25,83.63,84.99,83.02,84.14,292025.0
2026-05-26,83.74,84.59,82.88,83.36,277304.0
2026-05-27,83.0,86.25,81.7,83.89,603801.0
2026-05-28,82.56,82.83,81.3,81.49,362379.0
2026-05-29,80.99,85.59,80.88,84.89,601101.0
2026-06-01,83.95,83.95,82.83,83.41,279987.0
2026-06-02,83.38,83.98,82.42,82.71,238179.0
2026-06-03,82.6,82.97,81.62,82.35,211544.0
2026-06-04,82.35,82.79,81.1,81.1,204211.0
